Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","5",
"01:00-02:00","0",
"02:00-03:00","0",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","0",
"06:00-07:00","3",
"07:00-08:00","31",
"08:00-09:00","115",
"09:00-10:00","340",
"10:00-11:00","575",
"11:00-12:00","405",
"12:00-13:00","360",
"13:00-14:00","528",
"14:00-15:00","575",
"15:00-16:00","509",
"16:00-17:00","532",
"17:00-18:00","532",
"18:00-19:00","847",
"19:00-20:00","968",
"20:00-21:00","601",
"21:00-22:00","122",
"22:00-23:00","1",
"23:00-24:00","3",
