Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","0",
"01:00-02:00","0",
"02:00-03:00","0",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","0",
"06:00-07:00","1",
"07:00-08:00","12",
"08:00-09:00","102",
"09:00-10:00","418",
"10:00-11:00","914",
"11:00-12:00","773",
"12:00-13:00","724",
"13:00-14:00","1022",
"14:00-15:00","1662",
"15:00-16:00","1882",
"16:00-17:00","1580",
"17:00-18:00","1546",
"18:00-19:00","928",
"19:00-20:00","484",
"20:00-21:00","33",
"21:00-22:00","78",
"22:00-23:00","107",
"23:00-24:00","78",
