Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","8",
"01:00-02:00","0",
"02:00-03:00","1",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","1",
"06:00-07:00","4",
"07:00-08:00","19",
"08:00-09:00","83",
"09:00-10:00","297",
"10:00-11:00","472",
"11:00-12:00","342",
"12:00-13:00","326",
"13:00-14:00","489",
"14:00-15:00","557",
"15:00-16:00","570",
"16:00-17:00","602",
"17:00-18:00","622",
"18:00-19:00","1001",
"19:00-20:00","1306",
"20:00-21:00","734",
"21:00-22:00","144",
"22:00-23:00","0",
"23:00-24:00","0",
