Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","2",
"01:00-02:00","0",
"02:00-03:00","0",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","0",
"06:00-07:00","5",
"07:00-08:00","36",
"08:00-09:00","62",
"09:00-10:00","287",
"10:00-11:00","462",
"11:00-12:00","363",
"12:00-13:00","325",
"13:00-14:00","561",
"14:00-15:00","714",
"15:00-16:00","657",
"16:00-17:00","597",
"17:00-18:00","770",
"18:00-19:00","1097",
"19:00-20:00","1622",
"20:00-21:00","1085",
"21:00-22:00","215",
"22:00-23:00","2",
"23:00-24:00","0",
