Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","5",
"01:00-02:00","2",
"02:00-03:00","0",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","0",
"06:00-07:00","3",
"07:00-08:00","27",
"08:00-09:00","118",
"09:00-10:00","162",
"10:00-11:00","114",
"11:00-12:00","60",
"12:00-13:00","82",
"13:00-14:00","83",
"14:00-15:00","105",
"15:00-16:00","110",
"16:00-17:00","127",
"17:00-18:00","337",
"18:00-19:00","902",
"19:00-20:00","535",
"20:00-21:00","199",
"21:00-22:00","71",
"22:00-23:00","26",
"23:00-24:00","7",
